Party,abbr
Volkspartij voor Vrijheid en Democratie,VVD
Partij voor de Vrijheid,PVV
Christen-Democratisch Appèl,CDA
Democraten 66,D66
GroenLinks,GL
Socialistische Partij,SP
Partij van de Arbeid,PvdA
ChristenUnie,CU
Partij voor de Dieren,PvdD
50Plus,50+
Staatkundig Gereformeerde Partij,SGP
Denk,DENK
Forum voor Democratie,FvD
Onafhankelijke Senaatsfractie,OSF
Van Kooten-Arissen,vKA
Van Haga,Van Haga
