,MotieID,date,Indiener,Indiener_party,Medeindiener_1,Medeindiener_party_1,Medeindiener_2,Medeindiener_party_2,Medeindiener_3,Medeindiener_party_3,Medeindiener_4,Medeindiener_party_4,Medeindiener_5,Medeindiener_party_5,Medeindiener_6,Medeindiener_party_6,Medeindiener_7,Medeindiener_party_7,Medeindiener_8,Medeindiener_party_8,Medeindiener_9,Medeindiener_party_9,Medeindiener_10,Medeindiener_party_10,Medeindiener_11,Medeindiener_party_11,Medeindiener_12,Medeindiener_party_12,Medeindiener_13,Medeindiener_party_13
117,21501-02-1993,11 april 2019,Lilianne Ploumen, Partij van de Arbeid,Sadet Karabulut, Socialistische Partij,,,,,,,,,,,,,,,,,,,,,,,,
118,21501-02-1994,11 april 2019,Sadet Karabulut, Socialistische Partij,Lilianne Ploumen, Partij van de Arbeid,,,,,,,,,,,,,,,,,,,,,,,,
119,21501-02-1995,11 april 2019,Sadet Karabulut, Socialistische Partij,,,,,,,,,,,,,,,,,,,,,,,,,,
120,21501-02-1996,11 april 2019,Sadet Karabulut, Socialistische Partij,Lilianne Ploumen, Partij van de Arbeid,,,,,,,,,,,,,,,,,,,,,,,,
121,21501-02-1999,16 april 2019,Eerste ondertekenaar Sjoerd Sjoerdsma, Democraten 66,,,,,,,,,,,,,,,,,,,,,,,,,,
122,21501-02-2000,16 april 2019,Eerste ondertekenaar Sjoerd Sjoerdsma, Democraten 66,,,,,,,,,,,,,,,,,,,,,,,,,,
123,21501-02-2008,15 mei 2019,Sjoerd Sjoerdsma, Democraten 66,Martijn van Helvert, Christen-Democratisch Appèl,,,,,,,,,,,,,,,,,,,,,,,,
124,21501-02-2012,21 mei 2019,Eerste ondertekenaar Sjoerd Sjoerdsma, Democraten 66,Mede ondertekenaar Lilianne Ploumen, Partij van de Arbeid,Mede ondertekenaar Joël Voordewind, ChristenUnie,Mede ondertekenaar Bram van Ojik, GroenLinks,Mede ondertekenaar Kees van der Staaij, Staatkundig Gereformeerde Partij,Mede ondertekenaar Martijn van Helvert, Christen-Democratisch Appèl,,,,,,,,,,,,,,,,
125,21501-02-2013,22 mei 2019,Esther Ouwehand, Partij voor de Dieren,,,,,,,,,,,,,,,,,,,,,,,,,,
126,21501-02-2014,22 mei 2019,Esther Ouwehand, Partij voor de Dieren,,,,,,,,,,,,,,,,,,,,,,,,,,
